"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Interview Trigger","TrackLayoutChangeVote","Type = Header","MediaPerson","Interview re: {RuleNewTrack:Name} layout discussions in GMA?","PSG_10004014","Type = UpcomingVoteInterviewStart","MailType = RequiresResponse; MailGroup = Media","TRUE","","","","Entretien sur les discussions de la GMA concernant le tracé du GP {RuleNewTrack:Name} ?","Intervista: discussione della GMA sul tracciato ({RuleNewTrack:Name})","Interview bezüglich der GMA-Debatte um die Streckenführung von {RuleNewTrack:Name}?","Entrevista: ¿conversaciones sobre el trazado de {RuleNewTrack:Name} en la GMA?","Entrevista sobre {RuleNewTrack:Name}: discussões da GMA sobre o traçado?","Een interview over de GMA-besprekingen over de lay-out van {RuleNewTrack:Name}?","{RuleNewTrack:Name}: Interjú a pálya elrendezésének megbeszéléséről a GMA-ben?","Może wywiad w sprawie dyskusji w GMA nad konfiguracją toru {RuleNewTrack:Name}?","Поделитесь мнением об обсуждении в ВАА профиля трассы {RuleNewTrack:Name}?"
"Interview Trigger","TrackLayoutChangeVote","Type = UpcomingVoteInterviewStart","MediaPerson","There's a mooted layout change to {RuleNewTrack:Name}'s track being voted on next week. Fancy telling us where you stand on the proposal?","PSG_10004015","Source = UpcomingVoteInterview;Type = Question1;","MailButton = RejectInterview; MailButton = StartInterview; InterviewStart = True","TRUE","","","","Un vote est prévu la semaine prochaine au sujet du changement de tracé pour {RuleNewTrack:Name}. Souhaitez-vous nous faire part de votre positionnement sur la question ?","La prossima settimana si vota sulla discussa proposta di modifica al tracciato di {RuleNewTrack:Name}. Ti va di dirci qual è la tua posizione in merito?","Nächste Woche wird über die umstrittene Änderung der Streckenführung von {RuleNewTrack:Name} abgestimmt. Möchten Sie sich dazu äußern?","La próxima semana se vota sobre un cambio en el trazado de {RuleNewTrack:Name}. ¿Podrías decirnos qué opinas de la propuesta?","{RuleNewTrack:Name}: Existe uma discussão de mudança de traçado da pista sendo votada na próxima semana. Gostaria de nos dizer qual a sua posição?","Volgende week wordt er gestemd over een lay-outwijziging in het {RuleNewTrack:Name}-circuit. Zou je ons willen vertellen wat jij van het voorstel vindt?","Vitatott pályaelrendezési változtatásról szavaznak jövő héten. Lenne kedved elmondani, hogy te hogyan állsz hozzá a javaslathoz?","W przyszłym tygodniu odbędzie się głosowanie nad zmianą układu toru {RuleNewTrack:Name}. Może powiesz, co sądzisz o tej propozycji?","На голосование на следующей неделе вынесен вопрос профиля трассы {RuleNewTrack:Name}. Можете рассказать нам, за что выступаете вы?"
"Interview Trigger","TrackRemovalVote","Type = Header","MediaPerson","Thoughts on the potential removal of {RuleOldTrack:Name}?","PSG_10004016","Type = UpcomingVoteInterviewStart","MailType = RequiresResponse; MailGroup = Media","TRUE","","","","{RuleOldTrack:Name} risque d'être retiré, qu'en pensez-vous ?","Le tue opinioni sulla potenziale eliminazione di {RuleOldTrack:Name}?","Wie stehen Sie zum möglichen Aus für {RuleOldTrack:Name}?","¿Opinión sobre la posible eliminación de {RuleOldTrack:Name}?","<gender^RuleOldTrack=F>
Poderia nos dizer o que pensa sobre a possível remoção da {RuleOldTrack:Name}?
</gender>
<gender^RuleOldTrack=M>
Poderia nos dizer o que pensa sobre a possível remoção do {RuleOldTrack:Name}?
</gender>
<gender^RuleOldTrack=N>
Poderia nos dizer o que pensa sobre a possível remoção de {RuleOldTrack:Name}?
</gender>
","<gender^RuleOldTrack=M>
Wat vind je van de potentiële verwijdering van {RuleOldTrack:Name}?
</gender>
<gender^RuleOldTrack=MP>
Wat vind je van de potentiële verwijdering van de {RuleOldTrack:Name}?
</gender>
<gender^RuleOldTrack=F>
Wat vind je van de potentiële verwijdering van de {RuleOldTrack:Name}?
</gender>","Mit gondolsz arról, hogy {RuleOldTrack:Name} esetleg kikerül?","Jakieś myśli na temat potencjalnego usunięcia toru {RuleOldTrack:Name}?","Что думаете об исключении трассы {RuleOldTrack:Name}?"
"Interview Trigger","TrackRemovalVote","Type = UpcomingVoteInterviewStart","MediaPerson","Your bosses at the GMA are thinking of getting rid of a track. We'd love to know your thoughts…","PSG_10004017","Source = UpcomingVoteInterview;Type = Question1;","MailButton = RejectInterview; MailButton = StartInterview; InterviewStart = True","TRUE","","","","Vos chefs à la GMA songent à retirer une piste. Nous aimerions savoir ce que vous en pensez...","I tuoi capi alla GMA stanno pensando di sbarazzarsi di un tracciato. Vorremmo conoscere la tua opinione...","Ihre Chefs bei der GMA erwägen eine Strecke zu streichen. Wir hätten gern Ihre Meinung dazu ...","La cúpula de la GMA está considerando la posibilidad de eliminar uno de los trazados del calendario. Nos gustaría saber qué opinas al respecto...","Sua chefia na GMA está pensando em remover uma pista. Gostaríamos de saber o que você acha disso...","Je baas bij de GMA wil van dit circuit af. We zouden graag willen weten wat jij daarvan vindt…","A főnökeid a GMA-nél azon gondolkodnak, hogy megszabadulnak az egyik pályától. Szeretnénk megismerni a te gondolataidat… ","Szefowie GMA myślą o usunięciu jednego z torów. Z chęcią usłyszymy, co masz na ten temat do powiedzenia...","Ваши боссы в ВАА думают избавиться от трассы, а что думаете вы?"
"Interview","UpcomingVoteInterview","Type = Question1; VoteType = GenericUpcomingVote; ","MediaPerson","So, what are your thoughts on the upcoming vote on {VoteTopic}?","PSG_10004018","Type = Answer1","","TRUE","","","","Alors, que pensez-vous du vote sur la règle : {VoteTopic} ?","Allora, qual è la tua opinione sul voto relativo a {VoteTopic}?","Was ist Ihre Meinung zu der anstehenden Abstimmung in Sachen {VoteTopic}?","<gender^VoteTopic=F>
¿Qué opinión te merece la próxima votación sobre la {VoteTopic}?
</gender>
<gender^VoteTopic=M>
¿Qué opinión te merece la próxima votación sobre el {VoteTopic}?
</gender>
<gender^VoteTopic=FP>
¿Qué opinión te merece la próxima votación sobre las {VoteTopic}?
</gender>
<gender^VoteTopic=MP>
¿Qué opinión te merece la próxima votación sobre los {VoteTopic}?
</gender>","Então, qual é a sua opinião sobre a votação da proposta de {VoteTopic}?","En, wat vind je van de stemming binnenkort over '{VoteTopic}'?","Szóval, te mit gondolsz a közelgő szavazásról a(z) {VoteTopic} kapcsán?","{VoteTopic}. Co o tym myślisz?","Итак, что вы думаете о грядущем голосовании на тему: {VoteTopic}?"
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = GenericUpcomingVote;","Player","I'd like to see {VoteTopic} brought in, for sure.","PSG_10004019","Type = Question2","","TRUE","PlayerSupportsVote = True;","","","J'aimerais bien voir cela approuvé, c'est sûr.","Mi piacerebbe sicuramente che {VoteTopic} ottenesse l'approvazione.","<gender^VoteTopic=F>
Ich bin auf jeden Fall dafür, die {VoteTopic} einzuführen.
</gender>
<gender^VoteTopic=M>
Ich bin auf jeden Fall dafür, den {VoteTopic} einzuführen.
</gender>
<gender^VoteTopic=MP>
Ich bin auf jeden Fall dafür, {VoteTopic} einzuführen.
</gender>
<gender^VoteTopic=N>
Ich bin auf jeden Fall dafür, das {VoteTopic} einzuführen.
</gender>
","Me gustaría que lo aprobaran, está claro.","Eu gostaria que isso ({VoteTopic}) fosse aprovado, é claro.","Ik hoop absoluut dat de motie over '{VoteTopic}' wordt aangenomen...","{VoteTopic}? Teljes mértékben támogatom!","{VoteTopic}? Bardzo mi zależy na wprowadzeniu tej zmiany.","{VoteTopic} - это интересно, разумеется."
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = GenericUpcomingVote;","Player","I'm not really too sure what to think just yet… ","PSG_10004020","Type = Question2","","TRUE","PlayerSupportsVote = Undecided;","","","Je ne sais toujours pas vraiment quoi penser... ","Non ho ancora le idee chiare... ","Ich möchte mich momentan hierzu noch nicht äußern ... ","Aún no sé qué pensar, la verdad... ","Eu realmente não sei ainda minha posição... ","Ik weet nog niet echt wat ik ervan moet denken... ","Nem igazán tudom még, hogy mit gondoljak róla…","Nie wiem jeszcze co o tym myśleć... ","Пока у меня еще нет определенного мнения на этот счет… "
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = GenericUpcomingVote;","Player","I'm against it.","PSG_10004021","Type = Question2","","TRUE","PlayerSupportsVote = False;","","","Je suis contre.","Non sono favorevole.","Ich bin dagegen.","Estoy en contra.","Eu sou contra.","Ik ben ertegen.","Ellenzem.","Jestem przeciwko.","Я против."
"Interview","UpcomingVoteInterview","Type = Question1; VoteType = PhilosophicalVote;","MediaPerson","So, the next vote on the agenda at the GMA is likely to cause a bit of a rift between the team principals. Is the {Championship:Name} ready for {VoteTopic}?","PSG_10004022","Type = Answer1","","TRUE","","","","Alors, le prochain vote prévu à l'AAM est susceptible de créer quelques dissensions entre les chefs d'écuries. Pensez que le championnat ({Championship:Name}) soit vraiment préparé pour ce sujet ({VoteTopic}) ? ","<gender^Championship=F>
Allora, è probabile che il prossimo voto in programma per la GMA provochi una frattura tra i capi della scuderia. La {Championship:Name} è pronta per {VoteTopic}?
</gender>
<gender^Championship=M>
Allora, è probabile che il prossimo voto in programma per la GMA provochi una frattura tra i capi della scuderia. Il {Championship:Name} è pronto per {VoteTopic}?
</gender>","<gender^VoteTopic=F>
In der nächsten GMA-Abstimmung könnte es zu Zerwürfnissen unter den Teamleitern kommen. Ist die {Championship:Name}-Liga bereit für die {VoteTopic}?
</gender>
<gender^VoteTopic=M>
In der nächsten GMA-Abstimmung könnte es zu Zerwürfnissen unter den Teamleitern kommen. Ist die {Championship:Name}-Liga bereit für den {VoteTopic}?
</gender>
<gender^VoteTopic=MP>
In der nächsten GMA-Abstimmung könnte es zu Zerwürfnissen unter den Teamleitern kommen. Ist die {Championship:Name}-Liga bereit für {VoteTopic}?
</gender>
<gender^VoteTopic=N>
In der nächsten GMA-Abstimmung könnte es zu Zerwürfnissen unter den Teamleitern kommen. Ist die {Championship:Name}-Liga bereit für das {VoteTopic}?
</gender>","<gender^VoteTopic=F>
La próxima votación de la GMA podría hacer avivar las rencillas entre directores de equipo. ¿Crees que el campeonato está preparado para {VoteTopic}?
</gender>
<gender^VoteTopic=M>
La próxima votación de la GMA podría hacer avivar las rencillas entre directores de equipo. ¿Crees que el campeonato está preparado para {VoteTopic}?
</gender>
<gender^VoteTopic=FP>
La próxima votación de la GMA podría hacer avivar las rencillas entre directores de equipo. ¿Crees que el campeonato está preparado para {VoteTopic}?
</gender>
<gender^VoteTopic=MP>
La próxima votación de la GMA podría hacer avivar las rencillas entre directores de equipo. ¿Crees que el campeonato está preparado para {VoteTopic}?
</gender>
<gender^VoteTopic=N>
La próxima votación de la GMA podría hacer avivar las rencillas entre directores de equipo. ¿Crees que el campeonato está preparado para {VoteTopic}?
</gender>
","<gender^Championship=F>
Então, a próxima votação na agenda da GMA vai provavelmente criar uma divisão entre os administradores das equipes. Será que a {Championship:Name} está pronta para {VoteTopic}?
</gender>
<gender^Championship=M>
Então, a próxima votação na agenda da GMA vai provavelmente criar uma divisão entre os administradores das equipes. Será que o {Championship:Name} está pronto para {VoteTopic}?
</gender>","De volgende {Championship:Name}-stemronde die bij de GMA op de agenda staat zal een scheuring veroorzaken tussen de teamleiders. Is de competitie klaar voor '{VoteTopic}'?","Szóval a következi szavazás a GMA napirendjében valószínűleg némi szakadékot teremt a csapatigazgatók között. Készen áll a(z) {Championship:Name} a(z) {VoteTopic} bevezetésére?","Kolejne głosowanie w GMA może spowodować pewien konflikt wśród zarządów drużyn. {VoteTopic} – czy zawody {Championship:Name} są gotowe na zmiany?","Итак, следующее голосование на повестке дня в ВАА разделит глав команд. {VoteTopic} - нужно ли это чемпионату {Championship:Name}?"
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = PhilosophicalVote;","Player","Absolutely. I'm fully in favour of the proposed changes.","PSG_10004023","Type = Question2","","TRUE","PlayerSupportsVote = True;","","","Bien sûr. Je suis totalement pour ces changements proposés.","Sicuramente. Sono del tutto favorevole ai cambiamenti proposti.","Absolut. Ich unterstütze die vorgeschlagenen Änderungen.","Por supuesto. Estoy totalmente a favor de los cambios propuestos.","Com certeza. Sou totalmente favorável às mudanças propostas.","Absoluut. Ik ben het volledig eens met de voorgestelde wijzigingen.","Abszolút. Én teljes mértékben támogatom a javasolt változtatásokat.","Jak najbardziej. Jestem absolutnie za proponowanymi zmianami.","Абсолютно точно. Я за предлагаемые изменения."
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = PhilosophicalVote;","Player","To be honest, I've not made my mind up yet.","PSG_10004024","Type = Question2","","TRUE","PlayerSupportsVote = Undecided;","","","Pour être honnête, je n'ai pas encore pris ma décision.","Onestamente non ho le idee chiare in merito.","Ich habe mich offen gestanden weder pro noch contra entschieden.","La verdad es que aún no he decidido nada al respecto.","Sinceramente, ainda não decidi.","Om eerlijk te zijn, ben ik er nog niet uit.","Hogy őszinte legyek, még nem döntöttem el.","Szczerze mówiąc nie mam wyrobionej opinii.","Если честно, я пока не знаю."
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = PhilosophicalVote;","Player","No. And I don't think it ever will be.","PSG_10004025","Type = Question2","","TRUE","PlayerSupportsVote = False;","","","Non. Et pense que ça ne sera jamais le cas.","No, e non penso lo sarà mai.","Nein, und ich fürchte, die Sache hätte keine Zukunft.","No. No creo que se apruebe algo así.","Não. E não acho que algum dia vai estar.","Nee. Nooit, denk ik.","Nem. És nem hiszem, hogy valaha is készen fog állni.","Nie. I nie sądzę, że kiedykolwiek będą.","Нет. И я не думаю, что такое время настанет."
"Interview","UpcomingVoteInterview","Type = Question1; VoteType = PartChangeVote; ExpectedPartLevel = Higher;","MediaPerson","The technical analysts of the GMA have turned their attention to the {PoliticsPart}. Do you think that it actually needs improving?","PSG_10004026","Type = Answer1","","TRUE","","","","Un nouveau sujet ({PoliticsPart}) a attiré l'attention des analystes techniques de la GMA. Pensez-vous qu'une amélioration devrait se produire ?","L'argomento {PoliticsPart} è un tema caldo, dopo che gli analisti tecnici della GMA vi hanno rivolto lo sguardo. Pensi sia necessario un cambiamento?","Die technischen Analysten der GMA widmen ihre Aufmerksamkeit dem Thema {PoliticsPart}. Ist eine Optimierung Ihrer Meinung nach erforderlich?","<gender^Part=F>
Los analistas técnicos de la GMA tienen su mira puesta sobre la {PoliticsPart}. ¿Crees que hace falta mejorar esta pieza?
</gender>
<gender^Part=M>
Los analistas técnicos de la GMA tienen su mira puesta sobre el {PoliticsPart}. ¿Crees que hace falta mejorar esta pieza?
</gender>
<gender^Part=FP>
Los analistas técnicos de la GMA tienen su mira puesta sobre las {PoliticsPart}. ¿Crees que hace falta mejorar esta pieza?
</gender>
<gender^Part=MP>
Los analistas técnicos de la GMA tienen su mira puesta sobre los {PoliticsPart}. ¿Crees que hace falta mejorar esta pieza?
</gender>","<gender^Part=F>
Os analistas técnicos da GMA estão dando atenção para a {PoliticsPart}. Você acha que isso realmente precisa de melhorias?
</gender>
<gender^Part=M>
Os analistas técnicos da GMA estão dando atenção para o {PoliticsPart}. Você acha que isso realmente precisa de melhorias?
</gender>
<gender^Part=FP>
Os analistas técnicos da GMA estão dando atenção para as {PoliticsPart}. Você acha que isso realmente precisa de melhorias?
</gender>
<gender^Part=MP>
Os analistas técnicos da GMA estão dando atenção para os {PoliticsPart}. Você acha que isso realmente precisa de melhorias?
</gender>
<gender^Part=N>
Os analistas técnicos da GMA estão dando atenção para {PoliticsPart}. Você acha que isso realmente precisa de melhorias?
</gender>
","De technische analisten van de GMA hebben hun aandacht verlegd naar een nieuw onderdeel: jullie {PoliticsPart}. Moet dat volgens jou worden verbeterd?","A GMA műszaki elemzői figyelmüket erre fordították: {PoliticsPart}. Mit gondolsz, tényleg szükség van erre a fejlesztésre?","Techniczni analitycy z GMA zwrócili swoją uwagę na {PoliticsPart}. Myślisz, że naprawdę potrzebne są tu ulepszenia?","Технических аналитиков ВАА интересует {PoliticsPart}. Думаете там нужны улучшения?"
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = PartChangeVote; ExpectedPartLevel = Higher;","Player","This sport is all about being the fastest. Any improvements are great!","PSG_10004027","Type = Question2;","","TRUE","PlayerSupportsVote = True;","","","Dans ce sport où c'est la vitesse qui compte, chaque amélioration est une bénédiction !","In questo sport la velocità è tutto. Qualunque miglioramento sarà ben accetto!","In diesem Sport geht es nur ums Siegen und da geht doch jede Optimierung in Ordnung!","En este deporte se trata de ser los más rápidos. Toda mejora al respecto es bienvenida.","O que importa nesse esporte é ser o mais veloz. Qualquer melhoria é ótima!","In deze sport moet je de snelste zijn. Elke verbetering is welkom!","Ez a sportág mindig a leggyorsabbakról szólt. Minden fejlesztés csakis nagyszerű lehet! ","W tym sporcie chodzi o bycie najszybszym. Wszelkie usprawnienia są super!","Главное в спорте - быть самым быстрым. Любые улучшения хороши!"
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = PartChangeVote; ExpectedPartLevel = Higher;","Player","I'm sitting on the fence at the moment.","PSG_10004028","Type = Question2;","","TRUE","PlayerSupportsVote = Undecided;","","","Je n'arrive pas à me prononcer pour l'instant.","Non ho ancora una posizione chiara sull'argomento.","Ich kann mich nicht entscheiden.","Aún no sé qué pensar, la verdad.","Não me decidi até o momento.","Ik verkeer momenteel nog in dubio.","Jelen pillanatban még semleges állásponton vagyok.","Jestem w tej chwili rozdarty.","Не могу с уверенностью сказать."
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = PartChangeVote; ExpectedPartLevel = Higher;","Player","No way. We can all keep working on our {PoliticsPart}, but it does nothing for the competition in the race.","PSG_10004029","Type = Question2;","","TRUE","PlayerSupportsVote = False;","","","<gender^Part=F>
Bien sûr que non. On peut très bien continuer de travailler sur notre {PoliticsPart}, mais ça n'aura aucun effet sur le niveau de compétition de la course.
</gender>
<gender^Part=M>
Bien sûr que non. On peut très bien continuer de travailler sur notre {PoliticsPart}, mais ça n'aura aucun effet sur le niveau de compétition de la course.
</gender>
<gender^Part=MP>
Bien sûr que non. On peut très bien continuer de travailler sur nos {PoliticsPart}, mais ça n'aura aucun effet sur le niveau de compétition de la course.
</gender>
","<gender^Part=F>
Assolutamente no. Possiamo continuare a lavorare tutti sulla nostra {PoliticsPart}, ma non aiuterà la competizione durante la gara.
</gender>
<gender^Part=M>
Assolutamente no. Possiamo continuare a lavorare tutti sul nostro {PoliticsPart}, ma non aiuterà la competizione durante la gara.
</gender>
<gender^Part=FP>
Assolutamente no. Possiamo continuare a lavorare tutti sulle nostre {PoliticsPart}, ma non aiuterà la competizione durante la gara.
</gender>
<gender^Part=MP>
Assolutamente no. Possiamo continuare a lavorare tutti sui nostri {PoliticsPart}, ma non aiuterà la competizione durante la gara.
</gender>

","Mumpitz. {PoliticsPart} hin oder her, dran rumwerkeln könnten wir bis zum Abwinken. Hat doch keinen Einfluss auf den Wettkampf.","Ni hablar. Puede mejorar todo lo que quiera, pero seguirá sin determinar la competitividad durante las carreras.","<gender^Part=F>
Sem chance. Nós todos podemos ficar trabalhando na {PoliticsPart}, mas não adiciona nada à competição.
</gender>
<gender^Part=M>
Sem chance. Nós todos podemos ficar trabalhando no {PoliticsPart}, mas não adiciona nada à competição.
</gender>
<gender^Part=FP>
Sem chance. Nós todos podemos ficar trabalhando nas {PoliticsPart}, mas não adiciona nada à competição.
</gender>
<gender^Part=MP>
Sem chance. Nós todos podemos ficar trabalhando nos {PoliticsPart}, mas não adiciona nada à competição.
</gender>
<gender^Part=N>
Sem chance. Nós todos podemos ficar trabalhando em {PoliticsPart}, mas não adiciona nada à competição.
</gender>
","Absoluut niet. Iedereen kan blijven werken aan zijn {PoliticsPart}, maar het maakt niets uit voor de competitie in de race.","Kizárt. Mindannyian folytathatjuk a munkát a(z) {PoliticsPart} kapcsán, de ennek semmi köze a pályán folyó versenyzéshez.","Nie mam mowy. {PoliticsPart} to coś nad czym pracujemy, ale nie ma to nic wspólnego z rywalizacją podczas zawodów.","Ни в коем случае. {PoliticsPart} не играет существенной роли в соревновательности гонок, сколько бы мы над этим ни работали."
"Interview","UpcomingVoteInterview","Type = Question1; VoteType = PartChangeVote; ExpectedPartLevel = Lower;","MediaPerson","The technical analysts of the GMA have turned their glare on the {PoliticsPart}. Do you think it needs bringing back into line?","PSG_10004030","Type = Answer1","","TRUE","","","","Les analystes techniques de la GMA ont porté leur attention sur la pièce : {PoliticsPart}. Pensez-vous que ce domaine ait besoin d'être remis au goût du jour ?","L'argomento {PoliticsPart} è un tema caldo, dopo che gli analisti tecnici della GMA vi hanno rivolto lo sguardo. Pensi sia necessario un cambiamento?","Die technischen Analysten der GMA widmen ihre Aufmerksamkeit dem Thema {PoliticsPart}. Sollte dieses Teil wieder in die Reihe gebracht werden?","<gender^Part=F>
Los analistas técnicos de la GMA han puesto la mira sobre la {PoliticsPart}. ¿Crees que es necesario un cambio?
</gender>
<gender^Part=M>
Los analistas técnicos de la GMA han puesto la mira sobre el {PoliticsPart}. ¿Crees que es necesario un cambio?
</gender>
<gender^Part=FP>
Los analistas técnicos de la GMA han puesto la mira sobre las {PoliticsPart}. ¿Crees que es necesario un cambio?
</gender>
<gender^Part=MP>
Los analistas técnicos de la GMA han puesto la mira sobre los {PoliticsPart}. ¿Crees que es necesario un cambio?
</gender>","<gender^Part=F>
Os analistas técnicos da GMA estão olhando a {PoliticsPart}. Você acha que isso realmente precisa ser controlado?
</gender>
<gender^Part=M>
Os analistas técnicos da GMA estão olhando o {PoliticsPart}. Você acha que isso realmente precisa ser controlado?
</gender>
<gender^Part=FP>
Os analistas técnicos da GMA estão olhando as {PoliticsPart}. Você acha que isso realmente precisa ser controlado?
</gender>
<gender^Part=MP>
Os analistas técnicos da GMA estão olhando os {PoliticsPart}. Você acha que isso realmente precisa ser controlado?
</gender>
<gender^Part=N>
Os analistas técnicos da GMA estão olhando {PoliticsPart}. Você acha que isso realmente precisa ser controlado?
</gender>
","De technische analisten van de GMA hebben hun blik gericht op de {PoliticsPart}. Moet dat volgens jou weer op één lijn worden gebracht?","A GMA technikai elemzői látóterébe került a(z) {PoliticsPart}. Mit gondolsz, szükség van arra, hogy ezt ismét szabályozzák?","Analitycy techniczni w GMA zwrócili uwagę na {PoliticsPart}. Myślisz, że warto to przywoływać?","Технических аналитиков ВАА интересует {PoliticsPart}. Думаете стоит вернуть?"
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = PartChangeVote; ExpectedPartLevel = Lower;","Player","Aboslutely. The quality of some of the teams' parts are getting a bit out of hand.","PSG_10004031","Type = Question2;","","TRUE","PlayerSupportsVote = True;","","","Absolument : la qualité des pièces de certaines écuries échappe un peu au contrôle.","Senz'altro. La qualità di alcuni componenti non è all'altezza degli standard della scuderia.","Selbstverständlich. Die Qualität einiger Teile des Teams lässt langsam etwas nach.","Estoy totalmente de acuerdo. La calidad de las piezas empleadas por algunos de los equipos marcan demasiado la diferencia.","Com certeza. A qualidade das peças de algumas das equipes está ficando fora de controle.","Absoluut. De kwaliteit van de onderdelen begint bij sommige teams een beetje uit de hand te lopen.","Teljes mértékben. Bizonyos csapatok alkatrészeinek minősége kissé kezd kicsúszni a kézből.","Absolutnie. Jakość niektórych części staje się nieco przestarzała.","Абсолютно точно. Качество деталей у многих команд откровенно хромает."
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = PartChangeVote; ExpectedPartLevel = Lower;","Player","I'm sitting on the fence at the moment.","PSG_10004032","Type = Question2;","","TRUE","PlayerSupportsVote = Undecided;","","","Je n'arrive pas à me prononcer pour l'instant.","Non ho ancora una posizione chiara sull'argomento.","Ich kann mich nicht entscheiden.","Aún no sé qué pensar, la verdad.","Não me decidi até o momento.","Ik verkeer momenteel nog in dubio.","Jelen pillanatban még semleges állásponton vagyok.","Jestem w tej chwili rozdarty.","Не могу с уверенностью сказать."
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = PartChangeVote; ExpectedPartLevel = Lower;","Player","I don't see why. Isn't this sport supposed to be about progress?","PSG_10004033","Type = Question2;","","TRUE","PlayerSupportsVote = False;","","","Je ne vois pas pourquoi. Le but de ce sport n'est-il pas de s'améliorer ?","Non vedo proprio perché. In questo sport non bisognerebbe puntare al progresso?","Ich wüsste nicht warum. Geht es in diesem Sport nicht um Fortschritt?","No veo motivo para ello. En este deporte se prima el desarrollo y los avances técnicos...","Eu não vejo o porquê. Esse esporte não deveria ter progresso?","Ik zie niet in waarom. Deze sport draait toch om vooruitgang?","Nem értem, miért kellene. Ez a sportág állítólag nem a fejlődésről szólna?","Nie widzę potrzeby. Czy ten sport nie polega przypadkiem na rozwoju?","Я этого не понимаю. Это как-то поможет развитию спорта?"
"Interview","UpcomingVoteInterview","Type = Question1; VoteType = PartChangeVote;","MediaPerson","There's a vote next week at the GMA with regards to the {PoliticsPart}… speaking personally, are you in favour of {VoteTopic}?","PSG_10004133","Type = Answer1","","TRUE","","","","Un vote est prévu au sein de la GMA la semaine prochaine concernant la pièce : {PoliticsPart}... {VoteTopic} est le changement proposé. D'un point de vue personnel, êtes-vous en faveur de cela ?","La settimana prossima alla GMA si voterà sul tema {PoliticsPart}... qual è la tua opinione personale, sei favorevole a {VoteTopic}?","Nächste Woche wird bei der GMA in Sachen {PoliticsPart} abgestimmt. Wie ist Ihre Ansicht zu dem Thema {VoteTopic}?","<gender^Part=F>
La próxima semana hay una votación en la GMA sobre la {PoliticsPart}... ¿Estás de acuerdo con los cambios propuestos?
</gender>
<gender^Part=M>
La próxima semana hay una votación en la GMA sobre el {PoliticsPart}... ¿Estás de acuerdo con los cambios propuestos?
</gender>
<gender^Part=FP>
La próxima semana hay una votación en la GMA sobre las {PoliticsPart}... ¿Estás de acuerdo con los cambios propuestos?
</gender>
<gender^Part=MP>
La próxima semana hay una votación en la GMA sobre los {PoliticsPart}... ¿Estás de acuerdo con los cambios propuestos?
</gender>","Vai haver uma votação na semana que vem na GMA com relação a {PoliticsPart}... falando pessoalmente, você é a favor da proposta de {VoteTopic}?","Volgende week wordt er bij de GMA gestemd over jullie {PoliticsPart}... Ben je persoonlijk vóór '{VoteTopic}'?","Jövő héten a GMA szavazni fog a(z) {PoliticsPart} kapcsán… és ha már személyesen beszélünk, te a(z) {VoteTopic} híve vagy?","W przyszłym tygodniu w GMA odbędzie się głosowanie na temat, którego tematem będzie {PoliticsPart}... czy osobiście wspierasz {VoteTopic}?","В ВАА на следующей неделе пройдет голосование. На повестке - {PoliticsPart}. {VoteTopic} - вы лично за или против?"
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = PartChangeVote;","Player","Aboslutely. I think it'll freshen up the grid.","PSG_10004134","Type = Question2;","","TRUE","PlayerSupportsVote = True;","","","Complètement. Je pense que ça fera du bien à la grille.","Decisamente. Penso che porterà una ventata d'aria fresca sulla griglia di partenza.","Klares Ja. Ich denke, das wird dem Sport zugutekommen.","Completamente de acuerdo. Hay que renovar la parrilla.","Com certeza. Eu acho que vai renovar o grid.","Absoluut. Ik denk dat het ervoor zal zorgen dat er een frisse wind gaat waaien door de startopstelling.","Teljes mértékben. Szerintem felpezsdítené a versenyt.","Absolutnie. Myślę, że przyda się trochę odświeżenia.","Я только за. Это освежит таблицу."
"Interview","UpcomingVoteInterview","Type = Answer1; VoteType = PartChangeVote;","Player","I've not quite made my mind up yet.","PSG_10004135","Type = Question2;","","TRUE","PlayerSupportsVote = Undecided;","","","Je n'ai pas encore pris ma décision.","Non ho ancora preso una decisione.","Ich möchte mich da nicht wirklich festlegen.","Aún no he decidido nada al respecto.","Ainda não me decidi completamente.","Ik ben er nog niet over uit.","Még nem igazán határoztam a kérdésben. ","Jeszcze nie mam w tej sprawie decyzji.","Я пока не могу определиться на этот счет."
