ID,Trait Name,Name ID,Custom Trait Name,Text ID,Icon Path,Icon,Part,Level,Type,Activation Requirement,Risk Level,Stat Boost,Max Stat Boost,Reliability Boost,Max Reliability Boost,Production Time,Cost,Red Zone,Bonus,Bonus Type,AggressiveTeamWeightings,PassiveTeamWeightings
137,"Build Time: -2 Days
{Stat}: +70
{Stat}: +15 to Max",PSG_20009050,"<b>Build Time:</b> -2 Days
<b>Performance:</b> +70
<b>Performance:</b> +15 to Max",,PartIconID57,3,All,5,Stock,,,70,15,,,-2,,,,,1,1
138,"Max Reliability: +20%
{Stat}: -5",PSG_20009051,"<b>Max Reliability:</b> +20%
<b>Performance:</b> -5",,EngineerIconID45,2,All,1,Engineer,,,-5,,,20,,,,,,0,0.2
139,"Max Reliability: +15%
Red Zone: -10%
{Stat}: -10",PSG_20009052,"<b>Gentle</b>
<b>Driver Smoothness:</b> +1",,EngineerIconID45,2,All,1,Engineer,,,,,,,,,,1,DriverSmoothness,0,0.3
140,"Build Time: +3 Days
Discount: {ComponentCost}",PSG_20009053,"<b>Build Time:</b> +3 Days
<b>Discount:</b> 70,000",,EngineerIconTimeMoney30,2,All,1,Engineer,,,,,,,3,"-70,000.00",,,,0,0
141,Produce an additional part with additional cost and reduced performance and max reliability,PSG_20009054,"<b>Additional Parts:</b> 1
<b>Build Time:</b> +5 days
<b>Max Reliability:</b> -10%
<b>Risk:</b> +1
<b>Additional Cost:</b> 500,000",,EngineerIconBuildTime29,5,All,2,Engineer,,1,,,,-10,5,"500,000.00",,,SecondPartFree,0.2,0
142,"Max Reliability: +35%
{Stat}: -10",PSG_20009055,"<b>Max Reliability:</b> +35%
<b>Performance:</b> -10",,EngineerIconID45,2,All,2,Engineer,,,-10,,,35,,,,,,0,0.3
143,"Build Time: +5 Days
Discount: {ComponentCost}",PSG_20009056,"<b>Build Time:</b> +5 Days
<b>Discount:</b> 90,000",,EngineerIconTimeMoney30,2,All,2,Engineer,,,,,,,5,"-90,000.00",,,,0,0
144,"Produce an additional part for extra time and cost, with reduced performance and max reliability",PSG_20009057,"<b>Additional Parts:</b> 1
<b>Build Time:</b> +8 days
<b>Max Reliability:</b> -5%
<b>Risk:</b> +1
<b>Additional Cost:</b> 750,000",,EngineerIconBuildTime29,5,All,3,Engineer,,1,,,,-5,8,"750,000.00",,,SecondPartFree,0.2,0
145,"Max Reliability: +15%
Red Zone: -10%",PSG_20009058,"<b>Simple</b>
<b>Part Fix Time:</b> -1s",,EngineerIconID45,4,All,3,Engineer,,,,,,,,,,-1,PitstopFixTime,0,0.4
146,"Build Time: +8 Days
Discount: 135,000",PSG_20009059,"<b>Build Time:</b> +8 Days
<b>Discount:</b> 135,000",,EngineerIconTimeMoney30,2,All,3,Engineer,,,,,,,8,"-135,000.00",,,,0,0
147,"Build Time: +17 Days
Unlocks an additional Epic component slot",PSG_20009060,"<b>Build Time:</b> +17 Days
Unlocks an additional Epic component slot",,EngineerIconExtraSlot41,4,All,3,Engineer,,,,,,,17,,,4,UnlockExtraSlotOfLevel,0,0
148,Max Reliability: +25%,PSG_20009061,"<b>Versatile</b>
<b>Driver Adaptability:</b> +2",,EngineerIconID45,4,All,3,Engineer,,,,,,,,,,2,DriverAdaptability,0,0.3
150,"Max Reliability: +35%
Red Zone: -15%
<b>Risk:</b> +1",PSG_20009063,"<b>Max Reliability:</b> +35%
<b>Red Zone:</b> -15%
<b>Risk:</b> +1",,EngineerIconID45,2,All,4,Engineer,,1,,,35,,,,-15,,,0.1,0.1
151,"Build Time: +12 Days
Discount: 240,000",PSG_20009064,"<b>Build Time:</b> +12 Days
<b>Discount:</b> 240,000",,EngineerIconTimeMoney30,2,All,4,Engineer,,,,,,,12,"-240,000.00",,,,0,0
152,"Build Time: +26 Days
Unlocks and additional Legendary component slot",PSG_20009065,"<b>Build Time:</b> +26 Days
Unlocks an additional Legendary component slot",,EngineerIconExtraSlot41,4,All,4,Engineer,,,,,,,26,,,5,UnlockExtraSlotOfLevel,0,0
153,Max Reliability: +30%,PSG_20009066,"<b>Stable</b>
<b>Driver Consistency:</b> +3",,EngineerIconID45,4,All,4,Engineer,,,,,,,,,,3,DriverConsistency,0.1,0.4
154,"Produce an additional part for extra time, cost and risk",PSG_20009067,"<b>Additional Parts:</b> 1
<b>Performance:</b> -30
<b>Max Reliability:</b> -15%
<b>Risk:</b> +1
<b>Additional Cost:</b> 300,000",,EngineerIconBuildTime29,5,All,1,Engineer,,1,-30,,,-15,,"300,000.00",,,SecondPartFree,0.3,0
155,"Max Reliability: +50%
Red Zone: -20%
<b>Risk:</b> +2",PSG_20009068,"<b>Max Reliability:</b> +50%
<b>Red Zone:</b> -20%
<b>Risk:</b> +2",,EngineerIconID45,2,All,5,Engineer,,2,,,,50,,,-20,,,0,0
156,"Build Time: +16 Days
Discount: 350,000",PSG_20009069,"<b>Build Time:</b> +16 Days
<b>Discount:</b> 350,000",,EngineerIconTimeMoney30,2,All,5,Engineer,,,,,,,16,"-350,000.00",,,,0,0
157,Max Reliability: +40%,PSG_20009070,"<b>Stable</b>
<b>Driver Consistency:</b> +5",,EngineerIconID45,4,All,5,Engineer,,,,,,,,,,5,DriverConsistency,0.1,0.4
158,"{Stat}: +30
{Stat}: -10 to Max",PSG_20009071,"<b>Performance:</b> +30
<b>Performance:</b> -10 to Max",,PartIconID18,2,All,1,Stock,,,30,-10,,,,,,,,1,1
159,"{Stat}: +45 to Max
Reliability: -20%",PSG_20009072,"<b>Performance:</b> +45 to Max
<b>Reliability:</b> -20%",,PartIconID17,2,All,1,Stock,,,,45,-20,,,,,,,1,1
160,"Build Time: +2 Days
{Stat}: +90 to Max",PSG_20009073,"<b>Build Time:</b> +2 Days
<b>Performance:</b> +90 to Max",,PartIconID77,1,All,3,Stock,,,,90,,,5,,,,,1,1
161,"Build Time: +10 Days
{Stat}: +65
Red Zone: -20%
<b>Risk:</b> +1",PSG_20009074,"<b>Build Time:</b> +10 Days
<b>Performance:</b> +65
<b>Red Zone:</b> -20%
<b>Risk:</b> +1",,PartIconID21,2,All,3,Risky,,1,65,,,,13,,-20,,,1,1
162,"{Stat}: +80
Additional Cost: {Cost}",PSG_20009075,"<b>Performance:</b> +80
<b>Risk:</b> +1",,PartIconID2,2,All,3,Stock,,1,80,,,,,,,,,1,1
163,Red Zone: -20%,PSG_20009076,<b>Red Zone:</b> -20%,,PartIconID6,0,All,3,Stock,,,,,,,,,-20,,,1,1
164,"Red Zone: -30%
<b>Risk:</b> +1",PSG_20009077,"<b>Red Zone:</b> -30%
<b>Risk:</b> +1",,PartIconID6,0,All,3,Risky,,1,,,,,,,-30,,,1,1
165,"{Stat}: +10
Max Reliability: +15%
Red Zone: -10%",PSG_20009078,"<b>Performance:</b> +20
<b>Max Reliability:</b> +10%
<b>Red Zone:</b> -5%",,PartIconID7,2,All,3,Stock,,,20,,,10,,,-5,,,1,1
166,"{Stat}: +90
{Stat}: -20 to Max
<b>Risk:</b> +1",PSG_20009079,"<b>Performance:</b> +105
<b>Risk:</b> +1",,PartIconID18,2,All,4,Risky,,1,105,,,,,,,,,1,1
167,"Build Time: +8 Days
Max Reliability: +35%
Red Zone: -10%",PSG_20009080,"<b>Build Time:</b> +3 Days
<b>Max Reliability:</b> +20%
<b>Red Zone:</b> -10%",,PartIconID68,2,All,4,Stock,,,,,,20,7,,-10,,,1,1
168,"Build Time: +3 Days
{Stat}: +40
{Stat}: +70 to Max
Reliability: -30%",PSG_20009081,"<b>Build Time:</b> +3 Days
<b>Performance:</b> +40
<b>Performance:</b> +70 to Max
<b>Reliability:</b> -30%",,PartIconID58,5,All,4,Stock,,,40,70,-30,,7,,,,,1,1
169,"{Stat}: +30
Max Reliability: +10%",PSG_20009082,"<b>Performance:</b> +30
<b>Max Reliability:</b> +10%",,PartIconID7,2,All,4,Stock,,,30,,,10,,,,,,1,1
170,"Build Time: +9 Days
{Stat}: +160
Max Reliability: -10%
<b>Risk:</b> +3",PSG_20009083,"<b>Performance:</b> +160
<b>Reliability:</b> -10%
<b>Risk:</b> +2",,PartIconID58,5,All,5,Risky,,2,160,,-10,,,,,,,1,1
171,"Build Time: +8 Days
{Stat}: +90
{Stat}: +45 to Max",PSG_20009084,"<b>Build Time:</b> +8 Days
<b>Performance:</b> +90
<b>Performance:</b> +45 to Max",,PartIconID78,1,All,5,Stock,,,90,45,,,13,,,,,1,1
172,"Build Time: +3 Days
{Stat}: +160 to Max",PSG_20009085,"<b>Build Time:</b> +3 Days
<b>Performance:</b> +160 to Max",,PartIconID77,1,All,5,Stock,,,,160,,,8,,,,,1,1
173,"Build Time: -3 Days
{Stat}: +25
{Stat}: +100 to Max",PSG_20009086,"<b>Build Time:</b> -3 Days
<b>Performance:</b> +25
<b>Performance:</b> +100 to Max",,PartIconID78,1,All,5,Stock,,,25,100,,,-3,,,,,1,1
174,"Build Time: -3 Days
{Stat}: +45
{Stat}: +110 to Max
<b>Risk:</b> +2",PSG_20009087,"<b>Build Time:</b> -6 Days
<b>Performance:</b> +75
<b>Performance:</b> +135 to Max
<b>Risk:</b> +2",,PartIconID78,1,All,5,Risky,,2,75,135,,,-6,,,,,1,1
175,"Reliability: +50%
Max Reliability: +30%",PSG_20009088,"<b>Reliability:</b> +50%
<b>Max Reliability:</b> +30%",,PartIconID3,1,All,5,Stock,,,,,50,30,,,,,,1,1
176,"Build Time: -2 Days
Red Zone: -35%",PSG_20009089,"<b>Build Time:</b> -2 Days
<b>Red Zone:</b> -35%",,PartIconID6,0,All,5,Stock,,,,,,,-2,,-35,,,1,1
177,{Stat}: +65,PSG_20009090,<b>Performance:</b> +65,,PartIconID2,2,All,5,Stock,,,65,,,,,,,,,1,1
178,"Build Time: +2 Days
{Stat}: +60
{Stat}: +35 to Max",PSG_20009091,"<b>Build Time:</b> +2 Days
<b>Performance:</b> +60
<b>Performance:</b> +35 to Max",,PartIconID78,1,All,5,Stock,,,60,35,,,7,,,,,1,1
179,"{Stat}: +140
Additional Cost: {Cost}",PSG_20009092,"<b>Performance:</b> +170
<b>Risk:</b> +2",,PartIconID62,7,All,5,Stock,,2,170,,,,,,,,,1,1
180,"{Stat}: +100
{Stat}: +60 to Max
Additional Cost: {Cost}",PSG_20009093,"<b>Build Time:</b> -2 Days
<b>Performance:</b> +100
<b>Performance:</b> +110 to Max
<b>Risk:</b> +2",,PartIconID57,3,All,5,Stock,,2,100,110,,,-2,,,,,1,1
181,"{Stat}: +50
{Stat}: +5 to Max
<b>Risk:</b> +1",PSG_20009094,"<b>Performance:</b> +50
<b>Performance:</b> +5 to Max
<b>Risk:</b> +1",,PartIconID5,6,All,1,Risky,,1,50,5,,,,,,,,1,1
182,"{Stat}: +60
Max Reliability: -5%
<b>Risk:</b> +1",PSG_20009095,"<b>Performance:</b> +60
<b>Max Reliability:</b> -5%
<b>Risk:</b> +1",,PartIconID62,5,All,1,Risky,,1,60,,,-5,,,,,,1,1
183,"Reliability: +15%
Max Reliability: +15%
Red Zone: -15%
<b>Risk:</b> +1",PSG_20009096,"<b>Reliability:</b> +10%
<b>Max Reliability:</b> +10%
<b>Red Zone:</b> -15%
<b>Risk:</b> +1",,PartIconID16,4,All,1,Risky,,1,,,10,10,,,-15,,,1,1
184,"Build Time: -4 Days
{Stat}: +30
<b>Risk:</b> +1",PSG_20009097,"<b>Build Time:</b> -4 Days
<b>Performance:</b> +30
<b>Risk:</b> +1",,PartIconID62,4,All,1,Risky,,1,30,,,,-4,,,,,1,1
185,"{Stat}: +85
Reliability: -10%
Max Reliability: -10%
<b>Risk:</b> +1",PSG_20009098,"<b>Performance:</b> +85
<b>Reliability:</b> -10%
<b>Max Reliability:</b> -10%
<b>Risk:</b> +1",,PartIconID62,5,All,2,Risky,,1,85,,-10,-10,,,,,,1,1
186,"{Stat}: +60
Max Reliability: +10%
Red Zone: +5%
<b>Risk:</b> +1",PSG_20009099,"<b>Performance:</b> +60
<b>Max Reliability:</b> +5%
<b>Red Zone:</b> +5%
<b>Risk:</b> +1",,PartIconID70,2,All,2,Risky,,1,60,,,5,,,5,,,1,1
187,"{Stat}: +45
Reliability: -20%
Max Reliability: +10%
Red Zone: -5%
<b>Risk:</b> +1",PSG_20009100,"<b>Performance:</b> +45
<b>Reliability:</b> -20%
<b>Max Reliability:</b> +5%
<b>Red Zone:</b> -5%
<b>Risk:</b> +1",,PartIconID70,2,All,2,Risky,,1,45,,-20,5,,,-5,,,1,1
188,"Build Time: -2 Days
Reliability: +30%
Max Reliability: +15%
Red Zone: -15%
<b>Risk:</b> +1",PSG_20009101,"<b>Build Time:</b> -2 Days
<b>Reliability:</b> +15%
<b>Max Reliability:</b> +15%
<b>Red Zone:</b> -15%
<b>Risk:</b> +1",,PartIconID16,4,All,2,Risky,,1,,,15,15,-2,,-15,,,1,1
189,"Build Time: -5 Days
{Stat}: +45
<b>Risk:</b> +1",PSG_20009102,"<b>Build Time:</b> -5 Days
<b>Performance:</b> +45
<b>Risk:</b> +1",,PartIconID62,4,All,2,Risky,,1,45,,,,-5,,,,,1,1
190,"{Stat}: +90
Reliability: -20%
<b>Risk:</b> +1",PSG_20009103,"<b>Performance:</b> +90
<b>Reliability:</b> -20%
<b>Risk:</b> +1",,PartIconID62,5,All,3,Risky,,1,90,,-20,,,,,,,1,1
191,"{Stat} +135
Max Relability: -10%
Red Zone: +5%
<b>Risk:</b> +2",PSG_20009104,"<b>Performance:</b> +135
<b>Max Reliability:</b> -10%
<b>Red Zone:</b> +5%
<b>Risk:</b> +2",,PartIconID62,5,All,3,Risky,,2,135,,,-10,,,5,,,1,1
192,"Build Time: -4 Days
{Stat}: +75
Reliability: -10%
<b>Risk:</b> +1",PSG_20009105,"<b>Build Time:</b> -4 Days
<b>Performance:</b> +75
<b>Reliability:</b> -10%
<b>Risk:</b> +1",,PartIconID62,4,All,3,Risky,,1,75,,-10,,-4,,,,,1,1
193,"Build Time: +2 Days
{Stat}: +60
{Stat}: +75 to Max
<b>Risk:</b> +1",PSG_20009106,"<b>Build Time:</b> +2 Days
<b>Performance:</b> +60
<b>Performance:</b> +75 to Max
<b>Risk:</b> +1",,PartIconID5,6,All,3,Risky,,1,60,75,,,5,,,,,1,1
194,"{Stat}: +15
Reliability: +40%
Max Reliability: +20%
Red Zone: -20%
<b>Risk:</b> +1",PSG_20009107,"<b>Performance:</b> +15
<b>Reliability:</b> +40%
<b>Max Reliability:</b> +10%
<b>Red Zone:</b> -20%
<b>Risk:</b> +1",,PartIconID70,2,All,3,Risky,,1,15,,40,10,,,-20,,,1,1
195,"Build Time: +10 Days
{Stat}: +115
<b>Risk:</b> +1",PSG_20009108,"<b>Build Time:</b> +10 Days
<b>Performance:</b> +115
<b>Risk:</b> +1",,PartIconID9,4,All,3,Risky,,1,115,,,,13,,,,,1,1
196,"Build Time: +4 Days
{Stat}: +120
{Stat}: +15 to Max
<b>Risk:</b> +2",PSG_20009109,"<b>Build Time:</b> +8 Days
<b>Performance:</b> +120
<b>Performance:</b> +15 to Max
<b>Risk:</b> +2",,PartIconID9,6,All,3,Risky,,2,120,15,,,11,,,,,1,1
197,"Build Time: -6 Days
{Stat}: +135 to Max
Max Reliability: +10%
Red Zone: -10%
<b>Risk:</b> +2",PSG_20009110,"<b>Build Time:</b> -6 Days
<b>Performance:</b> +135 to Max
<b>Max Reliability:</b> +10%
<b>Red Zone:</b> -10%
<b>Risk:</b> +2",,PartIconID70,2,All,3,Risky,,2,,135,,10,-6,,-10,,,1,1
198,"{Stat}: +100
{Stat}: +20 to Max
<b>Risk:</b> +1",PSG_20009111,"<b>Performance:</b> +100
<b>Performance:</b> +20 to Max
<b>Risk:</b> +1",,PartIconID5,6,All,4,Risky,,1,100,20,,,,,,,,1,1
199,"{Stat}: +150
Reliability: -20%
Max Reliability: -10%
Red Zone: +15%
<b>Risk:</b> +1",PSG_20009112,"<b>Performance:</b> +150
<b>Reliability:</b> -20%
<b>Max Reliability:</b> -10%
<b>Red Zone:</b> +15%
<b>Risk:</b> +1",,PartIconID62,5,All,4,Risky,,1,150,,-20,-10,,,15,,,1,1
200,"Build Time: +12 Days
{Stat}: +170
<b>Risk:</b> +2",PSG_20009113,"<b>Build Time:</b> +11 Days
<b>Performance:</b> +170
<b>Risk:</b> +2",,PartIconID9,4,All,4,Risky,,2,170,,,,15,,,,,1,1
201,"Build Time: -5 Days
{Stat}: +90
<b>Risk:</b> +1",PSG_20009114,"<b>Build Time:</b> -5 Days
<b>Performance:</b> +90
<b>Risk:</b> +1",,PartIconID62,4,All,4,Risky,,1,90,,,,-5,,,,,1,1
202,"{Stat}: +120
Max Reliability: +10%
<b>Risk:</b> +2",PSG_20009115,"<b>Performance:</b> +120
<b>Max Reliability:</b> +5%
<b>Risk:</b> +2",,PartIconID70,2,All,4,Risky,,2,120,,,5,,,,,,1,1
203,"{Stat}: +100
{Stat}: +10 to Max
Max Reliability: +10%
Red Zone: -10%
<b>Risk:</b> +2",PSG_20009116,"<b>Performance:</b> +100
<b>Performance:</b> +10 to Max
<b>Max Reliability:</b> +5%
<b>Red Zone:</b> -10%
<b>Risk:</b> +2",,PartIconID70,2,All,4,Risky,,2,100,10,,5,,,-10,,,1,1
204,"{Stat}: +150 to Max
Max Reliability: +20%
Red Zone: -10%
<b>Risk:</b> +1",PSG_20009117,"<b>Performance:</b> +150 to Max
<b>Max Reliability:</b> +15%
<b>Red Zone:</b> -10%
<b>Risk:</b> +1",,PartIconID70,2,All,4,Risky,,1,,150,,15,,,-10,,,1,1
205,"Build Time: -6 Days
{Stat}: +80
{Stat}: +90 to Max
<b>Risk:</b> +2",PSG_20009118,"<b>Build Time:</b> -6 Days
<b>Performance:</b> +80
<b>Performance:</b> +90 to Max
<b>Risk:</b> +2",,PartIconID5,6,All,4,Risky,,2,80,90,,,-6,,,,,1,1
206,"Build Time: -10 Days
Reliability: +65%
Max Reliability: +25%
Red Zone: -10%
<b>Risk:</b> +1",PSG_20009119,"<b>Build Time:</b> -5 Days
<b>Reliability:</b> +65%
<b>Max Reliability:</b> +25%
<b>Red Zone:</b> -10%
<b>Risk:</b> +1",,PartIconID16,4,All,4,Risky,,1,,,65,25,-5,,-10,,,1,1
207,"Build Time: +7 Days
{Stat}: +160
{Stat}: +50 to Max
<b>Risk:</b> +2",PSG_20009120,"<b>Build Time:</b> +7 Days
<b>Performance:</b> +160
<b>Performance:</b> +50 to Max
<b>Risk:</b> +2",,PartIconID5,6,All,5,Risky,,2,160,50,,,12,,,,,1,1
208,"Build Time: +17 Days
{Stat}: +210
<b>Risk:</b> +2",PSG_20009121,"<b>Build Time:</b> +17 Days
<b>Performance:</b> +210
<b>Risk:</b> +2",,PartIconID9,4,All,5,Risky,,2,210,,,,22,,,,,1,1
209,"Build Time: -5 Days
{Stat}: +110 to Max
Max Reliability: +35%
Red Zone: -25%
<b>Risk:</b> +2",PSG_20009122,"<b>Build Time:</b> -5 Days
<b>Performance:</b> +110 to Max
<b>Max Reliability:</b> +25%
<b>Red Zone:</b> -25%
<b>Risk:</b> +2",,PartIconID70,2,All,5,Risky,,2,,110,,25,-5,,-25,,,1,1
210,"{Stat}: +85
Reliability: +50%
Max Reliability: +25%
Red Zone: -15%
<b>Risk:</b> +2",PSG_20009123,"<b>Performance:</b> +85
<b>Reliability:</b> +50%
<b>Max Reliability:</b> +25%
<b>Red Zone:</b> -10%
<b>Risk:</b> +2",,PartIconID70,2,All,5,Risky,,2,85,,50,25,,,-10,,,1,1
211,"Build Time: -6 Days
{Stat}: +210 to Max
Max Reliability: +20%
Red Zone: -10%
<b>Risk:</b> +2",PSG_20009124,"<b>Build Time:</b> -6 Days
<b>Performance:</b> +210 to Max
<b>Max Reliability:</b> +20%
<b>Red Zone:</b> -10%
<b>Risk:</b> +2",,PartIconID70,2,All,5,Risky,,2,,210,,20,,,-10,,,1,1
212,"Build Time: +15 Days
{Stat}: +240
<b>Risk:</b> +3",PSG_20009125,"<b>Build Time:</b> +15 Days
<b>Performance:</b> +240
<b>Risk:</b> +3",,PartIconID9,4,All,5,Risky,,3,240,,,,20,,,,,1,1
213,"{Stat}: +130
{Stat}: +110 to Max
Max Reliability: +5%
Red Zone: -5%
<b>Risk:</b> +3",PSG_20009126,"<b>Performance:</b> +130
<b>Performance:</b> +110 to Max
<b>Max Reliability:</b> +5%
<b>Red Zone:</b> -5%
<b>Risk:</b> +3",,PartIconID70,2,All,5,Risky,,3,130,110,,5,,,-5,,,1,1
214,"Build Time: -5 Days
{Stat}: +175
<b>Risk:</b> +3",PSG_20009127,"<b>Build Time:</b> -5 Days
<b>Performance:</b> +175
<b>Risk:</b> +3",,PartIconID62,4,All,5,Risky,,3,175,,,,-5,,,,,1,1
215,"Build Time: -10 Days
{Stat}: +240 to Max
Max Reliability: +20%
Red Zone: -20%
<b>Risk:</b> +3",PSG_20009128,"<b>Build Time:</b> -10 Days
<b>Performance:</b> +240 to Max
<b>Max Reliability:</b> +15%
<b>Red Zone:</b> -20%
<b>Risk:</b> +3",,PartIconID70,2,All,5,Risky,,3,,240,,15,-10,,-20,,,1,1
216,"{Stat}: +65
{Stat}: +120 to Max
Reliability: +80%
Max Reliability: +40%
<b>Risk:</b> +3",PSG_20009129,"<b>Performance:</b> +65
<b>Performance:</b> +120 to Max
<b>Reliability:</b> +80%
<b>Max Reliability:</b> +15%
<b>Risk:</b> +3",,PartIconID70,2,All,5,Risky,,3,65,120,80,15,,,,,,1,1
217,"{Stat}: +10
{Stat}: +25 to Max",PSG_20009130,"<b>Performance:</b> +10
<b>Performance:</b> +25 to Max",,PartIconID2,,All,1,Stock,,,10,25,,,,,,,,1,1
218,"{Stat}: +10
Red Zone: -10%",PSG_20009131,"<b>Performance:</b> +10
<b>Red Zone:</b> -10%",,PartIconID7,,All,1,Stock,,,10,,,,,,-10,,,1,1
219,"Build Time: -3 Days
{Stat}: +20",PSG_20009132,"<b>Build Time:</b> -3 Days
<b>Performance:</b> +20",,PartIconID2,,All,1,Stock,,,20,,,,-3,,,,,1,1
220,"Build Time: +2 Days
{Stat}: +35",PSG_20009133,"<b>Build Time:</b> +2 Days
<b>Performance:</b> +35",,PartIconID2,,All,1,Stock,,,35,,,,2,,,,,1,1
221,"Max Reliability: +10%
Red Zone: -20%
<b>Risk:</b> +1",PSG_20009134,"<b>Max Reliability:</b> +10%
<b>Red Zone:</b> -15%
<b>Risk:</b> +1",,PartIconID16,,All,1,Risky,,1,,,,10,,,-15,,,1,1
222,{Stat}: +35,PSG_20009135,<b>Performance:</b> +35,,PartIconID2,,All,2,Stock,,,35,,,,,,,,,1,1
223,"{Stat}: +30
{Stat}: +15 to Max",PSG_20009136,"<b>Performance:</b> +30
<b>Performance:</b> +15 to Max",,PartIconID2,,All,2,Stock,,,30,15,,,,,,,,1,1
224,"{Stat}: +40 to Max
Max Reliability: +5%",PSG_20009137,"<b>Performance:</b> +40 to Max
<b>Max Reliability:</b> +5%",,PartIconID4,,All,2,Stock,,,,40,,5,,,,,,1,1
225,"{Stat}: +40 to Max
Red Zone: -5%",PSG_20009138,"<b>Performance:</b> +40 to Max
<b>Red Zone:</b> -5%",,PartIconID26,,All,2,Stock,,,,40,,,,,-5,,,1,1
226,"Reliability: +30%
Max Reliability: +10%",PSG_20009139,"<b>Reliability:</b> +30%
<b>Max Reliability:</b> +10%",,PartIconID3,,All,2,Stock,,,,,30,10,,,,,,1,1
227,"Build Time: -4 Days
Max Reliability: +5%
Red Zone: -5%",PSG_20009140,"<b>Build Time:</b> -4 Days
<b>Max Reliability:</b> +5%
<b>Red Zone:</b> -5%",,PartIconID3,,All,2,Stock,,,,,,5,-4,,-5,,,1,1
228,"{Stat}: +15
Max Reliability: +10%",PSG_20009141,"<b>Performance:</b> +10
<b>Performance:</b> +5 to Max
<b>Max Reliability:</b> +10%",,PartIconID7,,All,2,Stock,,,10,5,,10,,,,,,1,1
229,"{Stat}: +15
{Stat}: +15 to Max",PSG_20009142,"<b>Performance:</b> +15
<b>Performance:</b> +15 to Max",,PartIconID2,,All,2,Stock,,,15,15,,,,,,,,1,1
230,{Stat}: +50,PSG_20009143,<b>Performance:</b> +50,,PartIconID2,,All,3,Stock,,,50,,,,,,,,,1,1
231,"Build Time: -3 Days
Max Reliability: +10%
Red Zone: -10%",PSG_20009144,"<b>Build Time:</b> -3 Days
<b>Max Reliability:</b> +10%
<b>Red Zone:</b> -10%",,PartIconID3,,All,3,Stock,,,,,,10,-3,,-10,,,1,1
232,{Stat}: +70,PSG_20009145,<b>Performance:</b> +70,,PartIconID2,,All,4,Stock,,,70,,,,,,,,,1,1
233,"{Stat}: +90 to Max
Max Reliability: +10%",PSG_20009146,"<b>Performance:</b> +90 to Max
<b>Max Reliability:</b> +10%",,PartIconID4,,All,4,Stock,,,,90,,10,,,,,,1,1
234,"Build Time: -4 Days
Max Reliability: +15%
Red Zone: -15%",PSG_20009147,"<b>Build Time:</b> -4 Days
<b>Max Reliability:</b> +15%
<b>Red Zone:</b> -10%",,PartIconID3,,All,4,Stock,,,,,,15,-4,,-10,,,1,1
235,"Build Time: +4 Days
Max Reliability: +20%
Red Zone: -20%",PSG_20009148,"<b>Build Time:</b> +4 Days
<b>Max Reliability:</b> +20%
<b>Red Zone:</b> -15%",,PartIconID68,,All,4,Stock,,,,,,20,8,,-15,,,1,1
236,"{Stat}: +30
{Stat}: +50 to Max",PSG_20009149,"<b>Performance:</b> +30
<b>Performance:</b> +50 to Max",,PartIconID2,,All,4,Stock,,,30,50,,,,,,,,1,1
237,"Build Time: +2 Days
{Stat}: +40
{Stat}: +70 to Max",PSG_20009150,"<b>Build Time:</b> +2 Days
<b>Performance:</b> +40
<b>Performance:</b> +70 to Max",,PartIconID78,,All,4,Stock,,,40,70,,,6,,,,,1,1
238,"Build Time: +5 Days
{Stat}: +85",PSG_20009151,"<b>Build Time:</b> +5 Days
<b>Performance:</b> +85",,PartIconID2,,All,4,Stock,,,85,,,,9,,,,,1,1
239,"{Stat}: +25
Max Reliability: +15%",PSG_20009152,"<b>Performance:</b> +25
<b>Max Reliability:</b> +15%",,PartIconID7,,All,4,Stock,,,25,,,15,,,,,,1,1
240,"{Stat}: +60
Reliability: +10%
Max Reliability: +5%",PSG_20009153,"<b>Performance:</b> +55
<b>Reliability:</b> +10%
<b>Max Reliability:</b> +5%",,PartIconID7,,All,4,Stock,,,55,,10,5,,,,,,1,1
241,"{Stat}: +90
Red Zone: +15%",PSG_20009154,"<b>Performance:</b> +90
<b>Red Zone:</b> +15%",,PartIconID69,,All,4,Stock,,,90,,,,,,15,,,1,1
242,"{Stat}: +45
Red Zone: -10%",PSG_20009155,"<b>Performance:</b> +45
<b>Red Zone:</b> -10%",,PartIconID26,,All,4,Stock,,,45,,,,,,-10,,,1,1
243,Max Reliability: +30%,PSG_20009156,<b>Max Reliability:</b> +25%,,PartIconID3,,All,4,Stock,,,,,,25,,,,,,1,1
244,"Build Time: +7 Days
Max Reliability: +20%
Red Zone: -20%",PSG_20009157,"<b>Build Time:</b> +7 Days
<b>Max Reliability:</b> +20%
<b>Red Zone:</b> -20%",,PartIconID68,,All,4,Stock,,,,,,20,11,,-20,,,1,1
245,"Build Time: +4 Days
Max Reliability: +15%
Red Zone: -15%",PSG_20009158,"<b>Build Time:</b> +4 Days
<b>Max Reliability:</b> +15%
<b>Red Zone:</b> -15%",,PartIconID68,,All,4,Stock,,,,,,15,8,,-15,,,1,1
246,"{Stat}: +20
{Stat}: +95 to Max",PSG_20009159,"<b>Performance:</b> +20
<b>Performance:</b> +95 to Max",,PartIconID2,,All,4,Stock,,,20,95,,,,,,,,1,1
247,"Build Time: -4 Days
{Stat}: +95 to Max",PSG_20009160,"<b>Build Time:</b> -4 Days
<b>Performance:</b> +95 to Max",,PartIconID4,,All,4,Stock,,,,95,,,-4,,,,,1,1
