ID,Trait Name,Trait Name ID,Custom Trait Name,Trait Description,Description ID,Custom Trait Description,Type,Repeatable,Length,EventTrigger,Requirement,Probability,Evolves Into,Opposites,Removes Traits,Triggers,TriggersEnd,Shown,All Stats,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Special Case,Special Case Text,Special Case Description,Marketability,Morale,Mechanic,Teammate,Chairman,Improveability,Potential,Fuel Burn,Tyre Wear,Desired Wins,Desired Earnings,Patience
133,Endurance Racer,PSG_10005447,,"One mistake, and you spend 6 hours making up for it.",PSG_10005448,,Temp,,8-52,,,5,134,127; 129; 131,133,Source = EnduranceRacer,,PlayerDriverOnly,,,,,,2,,,,3,,,,10,,,,,,,,,,,
134,Endurance Champion,PSG_10005449,,You can never let your level drop too low.,PSG_10005450,,Permanent,,,,Trait = 133,25,,,134,Source = EnduranceWinner,,PlayerDriverOnly,,,,,,4,,,,7,,,,10,,,,,,,,,,,
135,Cycling Racer,PSG_10005451,,My lung capacity is through the roof!,PSG_10005452,,Temp,,3-12,,,10,136,17,135,Source = CyclingRacer,,PlayerDriverOnly,,,,,,,,2,,,,,,10,,,,,,,,,,,
136,Cycling Champion,PSG_10005453,,I can keep going for hours.,PSG_10005454,,Permanent,,,,Trait = 135,25,,,136,Source = CyclingWinner,,PlayerDriverOnly,,,,,,,,5,,,,,,10,,,,,,,,,,,
137,Sim Racing Enthusiast,PSG_10005455,,I can try moves in the sim I never would in the race.,PSG_10005456,,Temp,,4-40,,,10,138,,137,Source = SimRacingEnthusiast,,PlayerDriverOnly,,,,,4,,,,,,,,,10,,,,,,,,,,,
138,Sim Racing Champion,PSG_10005457,,These sim moves are really helping!,PSG_10005458,,Permanent,,,,Trait = 137,25,,,138,Source = Sim Racing Champion,,PlayerDriverOnly,,,,,6,,,,,,,,,10,,,,,,,,,,,
139,Investment Portfolio,PSG_10005459,,Id like to invest in the team...,PSG_10005460,,Temp,,8-52,,,5,140,,139,Source = InvestmentPortfolio,,PlayerDriverOnly,,,,,,,,,,,RandomPayment(Low),"The driver decided to invest in the team, paying you some money.",PSG_10009830,,,,,,,,,,,,
140,Embezzling,PSG_10005461,,So I took a little money... so what?!,PSG_10005462,,Temp,,8-52,,Trait = 139,50,141,,140,Source = Embezzler,,PlayerDriverOnly,,,,,,,,,,,,,,-45,,,,,,,,,,,
141,Offshore Accountant,PSG_10005463,,My guy in the Cayman Islands is a genius!,PSG_10005464,,Temp,,8-32,,Trait = 140,50,142,,141,Source = OffshoreAccountant,,PlayerDriverOnly,,,,,,,,,,,RandomPayment(Med),"The driver's accountant recommended an investment in the team, paying you some money.",PSG_10009831,,,,,,,,,,,,
142,Tax Avoidance Trial,PSG_10005465,,Theyre hauling me up before the magistrates...,PSG_10005466,,Temp,,8-156,,Trait = 141,50,143,,142,Source = TaxAvoidanceTrial,,PlayerDriverOnly,,,,,,,,,,,,,,-90,,,,,,,,,,,
143,Bankrupt,PSG_10005467,,Im going to get back to the top... mark my words.,PSG_10005468,,Temp,,24-104,,Trait = 142,50,,,143,Source = Bankrupt,,PlayerDriverOnly,,,,,,,,,,,,,,,,,,,,,,,,200,
144,Training Young Drivers,PSG_10005469,,Just want to pass on my expertise... ,PSG_10005470,,Temp,,16-32,,,8,145,2,144,Source = TrainingYoungDrivers,,PlayerDriverOnly,,,,,,,,,,,,,,15,20,,,,5,,,,,,
145,Owns Go Karting School,PSG_10005471,,Teaching is in my veins!,PSG_10005472,,Temp,,16-32,,Trait = 144,50,146,,145,Source = OwnsGoKartingSchool,,PlayerDriverOnly,,,,,5,,,,,,,,,20,,,,,15,,,,,,
146,Drivers' Union Leader,PSG_10005473,,Its an honour to represent my fellow drivers.,PSG_10005474,,Temp,,16-32,,Trait = 145,25,147,,146,Source = DriversUnionLeader,,PlayerDriverOnly,,,,,,,,,,,,,,20,20,,,,,,,,,,
147,Opening Museum,PSG_10005475,,Doing all of this work is distracting!,PSG_10005476,,Temp,,16-32,,Trait = 146,7,148,,147,Source = OpeningMuseum,,PlayerDriverOnly,,,,,,,,-2,,-4,,,,35,,,,,,,,,,,
148,Museum Opened,PSG_10005477,,"Dont mind me, just basking in the glow of my own awesomeness.",PSG_10005478,,Temp,,16-32,,Trait = 147,50,149,,148,Source = MuseumOpened,,PlayerDriverOnly,,,,,,,,,,,,,,60,15,,,,,,,,,,
149,Hall of Fame,PSG_10005479,,Its my rightful place!,PSG_10005480,,Temp,,16-32,,Trait = 148,10,,,149,Source = HallOfFame,,PlayerDriverOnly,,,,,,,,,,,,,,90,35,,,,,,,,,,
150,Fun Runner,PSG_10005481,,Its all for charity!,PSG_10005482,,Temp,,2-8,,,15,151,2,150,Source = FunRunner,,PlayerDriverOnly,,,,,,,,5,,,,,,20,,,,,,,,,,,
151,Volunteering,PSG_10005483,,I just want to give something back.,PSG_10005484,,Temp,,16-32,,Trait = 150,50,152,,151,Source = Volunteering,,PlayerDriverOnly,,,,,,,,,,,,,,30,10,,,,,,,,,,
152,Charity Work Abroad,PSG_10005485,,Seeing the look on their faces makes it all worthwhile.,PSG_10005486,,Temp,,16-32,,Trait = 151,50,153,,152,Source = CharityWorkAbroad,,PlayerDriverOnly,,,,,,,,,,,,,,40,15,,,,,,,,,,
153,Tropic Fever,PSG_10005487,,I never should have gone on that charity trip!,PSG_10005488,,Temp,,16-32,,Trait = 152,10,154,,153,Source = TropicFever,,PlayerDriverOnly,-10,,,,,,,,,,,,,,,,,,,,,,,,
154,Charitable Ambassador,PSG_10005489,,The world needs to know about whats going on out there!,PSG_10005490,,Temp,,16-32,,Trait = 153,25,,,154,Source = CharitableAmbassador,,PlayerDriverOnly,,,,,,,,,,,,,,50,,,,,,,,,,,
155,Filming Documentary,PSG_10005491,,Ive always felt that my story deserved to be on the silver screen...,PSG_10005492,,Temp,,16-32,,,10,156,,155,Source = FilmingDocumentary,,PlayerDriverOnly,,,,,,,,,,,,,,50,,,,,,,,,,,
156,Writing Autobiography,PSG_10005493,,I want to set the record straight about a few things...,PSG_10005494,,Temp,,16-32,,Trait = 155,10,157,,156,Source = WritingAutobiography,,PlayerDriverOnly,,,,,,,,,,,,,,50,,-15,-15,-15,,,,,,,
157,Writing Second Autobiography,PSG_10005495,,Its time that I told the real story... again!,PSG_10005496,,Temp,,16-32,,Trait = 156,25,,,157,Source = WritingSecondAutobiography,,PlayerDriverOnly,,,,,,,,,,,,,,65,,-25,-25,-40,,,,,,,
158,Race Winner,PSG_10005497,,Recently won a race,PSG_10005498,,Temp,Yes,3,PostRace,RacePosition = 1; Location = Any,60,,,158,Source = RaceWinner,,PlayerDriverOnly,,,,,,,,,,,,,,25,15,,,5,,,,,,,
159,Podium,PSG_10005499,,Recently sprayed some champagne,PSG_10005500,,Temp,Yes,3,PostRace,RacePosition <= 3; RacePosition > 1,45,,,159,Source = Podium,,PlayerDriverOnly,,,,,,,,,,,,,,5,5,,,,,,,,,,
160,Home Race Winner,PSG_10005501,,Recently won a home race,PSG_10005502,,Temp,Yes,3,PostRace,RacePosition = 1; Location = Home,100,,,160,Source = HomeRaceWinner,,PlayerDriverOnly,,,,,,,,,,,,,,,25,,,,,,,,,,
161,Losing Hope,PSG_10005503,,I dont ever see us improving... ,PSG_10005504,,Temp,,3,PostRace,Employed = True,,,,161,Source = LosingHope,,PlayerDriverOnly,-3,,,,,,,,,,,,,,,,,,,,,,,,
162,Top of the World,PSG_10005505,,It doesnt get much better than this!,PSG_10005506,,Temp,,3,PostRace,Employed = True,,,39,162,Source = TopOfTheWorld,,PlayerDriverOnly,3,,,,,,,,,,,,,,,,,,,,,,,,
163,Learning Fast,PSG_10005507,,Being here is so eye-opening... ,PSG_10005508,,Temp,,16-32,,Employed = True,5,,11,163,Source = LearningFast,,PlayerDriverOnly,,,,,,,,,,,,,,,,,,,10,,,,,,
164,Frustrated Reserve,PSG_10005509,,Im not learning anything here!,PSG_10005510,,Temp,,16-32,,ReserveDriver = True,10,,7,164,Source = FrustratedReserve,,PlayerDriverOnly,,,,,,,,,,,WillNotRenewContract,,PSG_10009835,,-80,,,,-5,,,,,,
165,Pay Driver,PSG_10005511,,My sponsors are interested in a deal... ,PSG_10005512,,Permanent,,,,,2,,,165,Source = PayDriver,,PlayerDriverOnly,,,,,,,,,,,PayDriver,The driver's sponsors will pay you money for each race they are involved in.,PSG_10009832,-75,,,,,,,,,,,
166,Upset About Contract,PSG_10005513,,I want a new deal!,PSG_10005514,,Temp,Yes,16-32,,ContractBelowDriverQuality,4,,,166,Source = UpsetAboutContract,,PlayerDriverOnly,,,,,,,,,,,,,,,-80,,,,,,,,,,
167,Suspicious About Media Reports,PSG_10005515,,"I read that story in the paper... not cool, boss.",PSG_10005516,,Temp,Yes,12,,RumoursAboutDriver = True,15,,,167,Source = SuspiciousAboutMediaReports,,PlayerDriverOnly,,,,,,,,,,,,,,,-45,,,,,,,,,,
168,Rival With Driver,PSG_10005517,,I would never have {RivalName} as a teammate!,PSG_10005518,,Permanent,Yes,,PostRace,HasRival = OtherTeam,5,,,168,Source = RivalWithDriver,,PlayerDriverOnly,,,,,,,,,,,WillNotJoinRival,The driver will not join a team with his rival.,PSG_10009833,,,,,,,,,,,,
169,Rival With Teammate,PSG_10005519,,I cant drive for this team while {RivalName} is still here!,PSG_10005520,,Temp,Yes,52-156,PostRace,HasRival = Teammate; Employed = True,5,,,169,Source = RivalWithTeammate,,PlayerDriverOnly,,,,,,,,,,,WillNotRenewContract,The driver will not renew his contract.,PSG_10009834,,,,,,,,,,,,
170,Fight With Mechanic,PSG_10005521,,Hes an idiot!,PSG_10005522,,Temp,Yes,26-104,,ReserveDriver = False; Employed = True,5,,,170,Source = FightWithMechanic,,PlayerDriverOnly,,,,,,,,,,,FaceInjury,,,,,-100,,-30,,,,,,,
171,Fight With Teammate,PSG_10005523,,What is his problem?!,PSG_10005524,,Temp,Yes,26-104,,ReserveDriver = False; Employed = True,5,,,171,Source = FightWithTeammate,,PlayerDriverOnly,,,,,,,,,,,FightWithTeammate; FaceInjury,The driver had a fight with his teammate.,PSG_10009835,,,,-80,-30,,,,,,,
172,Fight With Chairman,PSG_10005525,,"I know he pays my wages, but seriously... ",PSG_10005526,,Temp,Yes,26-104,,Employed = True,3,,,172,Source = FightWithChairman,,PlayerDriverOnly,,,,,,,,,,,,,,,,,,-50,,,,,,,
173,Fight With Stewards,PSG_10005527,,They need to learn how to back off.,PSG_10005528,,Temp,Yes,16-32,PostRace,CarStatus = Crashed || Retired,15,,,173,Source = FightWithStewards,,PlayerDriverOnly,,,,,,,,,,,NeckInjury,,,,,,,,,,,,,,
174,Cold,PSG_10005529,,Anyone got a tissue?,PSG_10005530,,Temp,Yes,1-3,,,8,,,174,Source = Cold,Source = Healed,PlayerDriverOnly,-2,,,,,,,,,,,,,,,,,,-5,,,,,,
175,Flu,PSG_10005531,,Chicken soup for me from now on.,PSG_10005532,,Temp,Yes,2-5,,,5,,,175,Source = Flu,Source = Healed,PlayerDriverOnly,-4,,,,,,,,,,,,,,,,,,-10,,,,,,
176,Fever,PSG_10005533,,Im feeling quite run down... ,PSG_10005534,,Temp,Yes,4-10,,,3,,,176,Source = Fever,Source = Healed,PlayerDriverOnly,-8,,,,,,,,,,,,,,,,,,-25,,,,,,
177,Back Problems,PSG_10005535,,Ow! I think I slept funny... ,PSG_10005536,,Temp,Yes,1-8,,,3,,,177,Source = BackProblems,Source = Healed,PlayerDriverOnly,,-3,-3,-3,-3,-5,,-8,-5,-8,,,,,-10,,,,-10,,,,,,
178,Cracked Rib,PSG_10005537,,The X-Rays revealed a bit of a crack... ,PSG_10005538,,Temp,Yes,4-10,PostRace,CarStatus = Crashed,5,,239; 240; 241; 242; 243,178,Source = CrackedRib,Source = Healed,PlayerDriverOnly,,-6,-6,-6,-6,-8,,-14,-8,-14,FaceInjury,,,,-25,,,,-25,,,,,,
179,Black Eye,PSG_10005539,,You should see the other guy.,PSG_10005540,,Temp,Yes,1-3,,,5,,,179,Source = BlackEye,Source = Healed,PlayerDriverOnly,,,,,,,,,,-3,FaceInjury,,,20,,,,,,,,,,,
180,Dodgy Neck,PSG_10005541,,The driving position cant be helping... ,PSG_10005542,,Temp,Yes,2-6,PostRace,,1,,,180,Source = DodgyNeck,Source = Healed,PlayerDriverOnly,,-2,-2,-2,-2,-3,,-6,-3,-6,NeckInjury,,,,-10,,,,-10,,,,,,
181,New Haircut,PSG_10005543,,Did you notice?,PSG_10005544,,Temp,Yes,8,,,10,,,181,Source = NewHaircut,,PlayerDriverOnly,,,,,,,,,,,RandomNewHairstyle,"The driver's new haircut has been picked up by the paper, improving marketability.",PSG_10009836,10,,,,,,,,,,,
182,Feeling Down,PSG_10005545,,"Just feeling a little blue, I guess.",PSG_10005546,,Temp,,13-26,,,7,,,182,Source = FeelingDown,,PlayerDriverOnly,-2,,,,,,,,,,,,,,-60,,,,-10,,,,,,
183,Happy,PSG_10005547,,This is the best. Team. Ever!,PSG_10005548,,Temp,,16-32,,,5,,39,183,Source = FeelingBetter,,PlayerDriverOnly,2,,,,,,,,,,,,,,30,,,,10,,,,,,
184,Just Married,PSG_10005549,,Life is wonderful!,PSG_10005550,,Temp,,3-520,,,5,185; 186,,184,Source = JustMarried,,PlayerDriverOnly,,,,,,,,,,,,,,10,20,,,,,,,,,,
185,Just Divorced,PSG_10005551,,Life is wonderful!,PSG_10005552,,Temp,,3-24,,,4,,,185,Source = JustDivorced,,PlayerDriverOnly,,,,,,,,,,-5,,,,10,20,,,,,,,,,,
186,Newborn,PSG_10005553,,A little bundle of joy!,PSG_10005554,,Temp,,52-104,,Trait = 184; Gender = Male,6,,,186,Source = Newborn,,PlayerDriverOnly,,,,,,,,-5,,-5,,,,10,30,,,,,,,,,,
187,Burglary,PSG_10005555,,They even took my first pair of driving gloves!,PSG_10005556,,Temp,,4-16,,,5,,,187,Source = DriverBurgled,,PlayerDriverOnly,,,,,,,,,,-8,,,,,-80,,,,,,,,,,
188,House Fire,PSG_10005557,,I lost everything... everything!,PSG_10005558,,Temp,,24-48,,,5,,,188,Source = DriverHouseFire,,PlayerDriverOnly,,,,,,,,,,-5,,,,,-50,,,,,,,,,,
189,Fancies Teammate,PSG_10005559,,I never saw them that way... until now.,PSG_10005560,,Temp,,16-32,,TeammateLovePossible = True; ReserveDriver = False,10,190,169,189,Source = TeammateFanciesTeammate,,PlayerDriverOnly,,,,,,,,,,,,,,,10,,,,,,,,,,
190,Dating Teammate,PSG_10005561,,We actually make a pretty good couple!,PSG_10005562,,Temp,,16-32,,Trait = 189; ReserveDriver = False,50,191; 193,,190,Source = TeammatesDating,,PlayerDriverOnly,,,,,,,,,,,,,,,15,,,,,,,,,,
191,In Love With Teammate,PSG_10005563,,Shes something special.,PSG_10005564,,Temp,,32-104,,Trait = 190; ReserveDriver = False,50,192; 193,,191,Source = In Love With Teammate,,PlayerDriverOnly,,,,,,,,,,,,,,,20,,,,,,,,,,
192,Married Teammate,PSG_10005565,,"Youre not thinking of firing her, are you?",PSG_10005566,,Temp,,52-104,,Trait = 191; ReserveDriver = False,50,,,192,Source = Married Teammate,,PlayerDriverOnly,,,,,,,,,,,,,,,30,,,,,,,,,,
193,Broke Up With Teammate,PSG_10005567,,"Well, that was the worst idea ever.",PSG_10005568,,Temp,,16-32,,Trait = 190||191||192; ReserveDriver = False,50,,,193,Source = Broke Up With Teammate,,PlayerDriverOnly,,,,,,,,,,,,,,,,,,,,,,,,,
194,Having Secret Affair,PSG_10005569,,Dont tell a soul.,PSG_10005570,,Temp,,4-52,,,9,195,,194,Source = Having Secret Affair,,PlayerDriverOnly,,,,,,,,,,-5,,,,,,,,,,,,,,,
195,Affair Exposed,PSG_10005571,,Did you tell anyone?!,PSG_10005572,,Temp,,10-25,,Trait = 194,50,,,195,Source = AffairExposed,,PlayerDriverOnly,,,,,,,,,,,,,,-80,-80,,,-50,,,,,,,
196,Mid Life Crisis,PSG_10005573,,"Ordinarily youd buy a sportscar, but I already have a few... ",PSG_10005574,,Temp,,52-104,,Age >= 30,8,,,196,Source = MidLifeCrisis,,PlayerDriverOnly,,,,,,,,,,-3,,,,,,,,,,,,,,,
197,Renewed Passion,PSG_10005575,,Racing is the answer.,PSG_10005576,,Temp,,26-72,,,10,,39,197,Source = RenewedPassion,,PlayerDriverOnly,3,,,,,,,,,,,,,15,30,,,,,15,,,,-500,
198,Likes Changeable Conditions,PSG_10007656,,I thrive on the unknown.,PSG_10007682,,Permanent,,,,,,,199,198,,,,,,,,,,5,,,,IntermediateTyres,Applies when the driver is on intermediate tyres.,PSG_10009837,,,,,,,,,,,,
199,Hates Intermediates,PSG_10007657,,Why cant the weather just make up its mind?,PSG_10007683,,Permanent,,,,,,,198,199,,,,,,,,,,-5,,,,IntermediateTyres,Applies when the driver is on intermediate tyres.,PSG_10009837,,,,,,,,,,,,
200,Setup Whizz,PSG_10007658,,A bad car never wins.,PSG_10007684,,Permanent,,,,,,,201,200,,,,,,,,,,,,12,,Practice,Bonus applies during practise only.,PSG_10009838,,,,,,,,,,,,
201,Doesn't Understand Setup,PSG_10007659,,It should just be about which driver is fastest!,PSG_10007685,,Permanent,,,,,,,200,201,,,,,,,,,,,,-12,,Practice,Bonus applies during practise only.,PSG_10009838,,,,,,,,,,,,
203,Under Pressure,PSG_10007660,,Drivings a lot easier without everyone on my back,PSG_10007686,,Temp,Yes,12,,ChairmanUltimatum = True,25,,,203,Source = UnderPressure,,PlayerDriverOnly,,5,5,,,-5,,,,-5,,,,,,,,,,,,,,,
204,Struggles Under Pressure,PSG_10007661,,I dont like the sponsors breathing down my neck!,PSG_10007687,,Permanent,,,,,,,8,204,,,,-5,,,,,,,,,,SponsorTop3,Only applies when the sponsor bonus objective is 3rd or above.,PSG_10009839,,,,,,,,,,,,
207,Duel Master,PSG_10007662,,I live for a great duel on track.,PSG_10007688,,Permanent,,,,,,,208,207,,,,,,4,,4,,,,,4,OneOnOne,Only applies when there is exactly 1 other car within 1 second of the driver on track.,PSG_10009840,,,,,,,,,,,,
208,Hates Dueling,PSG_10007663,,The pressure of a one on one fight is too much for me!,PSG_10007689,,Permanent,,,,,,,207,208,,,,,,-4,,-4,,,,,-4,OneOnOne,Only applies when there is exactly 1 other car within 1 second of the driver on track.,PSG_10009840,,,,,,,,,,,,
209,Hates Team Orders,PSG_10007664,,"If hes faster than me, then he should overtake me!",PSG_10007690,,Permanent,,,,,,,,209,,,,,,,,,,,,,,TurnOffTeamOrders,For this driver the team orders panel will be disabled.,PSG_10009841,,,,,,,,,,,,
210,Gone Rogue,PSG_10007665,,Im not taking orders from you any more!,PSG_10007691,,Temp,Yes,14-40,,Morale < 5,33,,,210,Source = GoneRogue,,PlayerDriverOnly,,,,,,,,,,,TurnOffStrategy,For this driver the entire strategy panel will be disabled.,PSG_10009842,,,,,,,,,,,,
211,Wants To Be Number One,PSG_10007666,,"If its not obvious, Im your number one driver.",PSG_10007692,,Permanent,,,,,,,,211,,,,,,,,,,,,,,NotNumberOne,Only applies when this driver is not a number 1 driver.,PSG_10009843,,-60,,,,,,,,,,
212,Wants A Top Mechanic,PSG_10007667,,Only the best are lucky enough to work with me.,PSG_10007693,,Permanent,,,,,,,,212,,,,,,,,,,,,,,MechanicWorseThanDriver,Only applies when this driver's mechanic has less stars than them.,PSG_10009844,,-60,,,,,,,,,,
213,Feeling Threatened,PSG_10007668,,I dont like that guy. Hes just too damn good!,PSG_10007694,,Permanent,,,,,,,,213,,,,,,,,,,,,,,TeammateBetterThanDriver,Only applies when this driver's teammate has more stars than them.,PSG_10009847,,-60,,,,,,,,,,
214,Green Eyed Monster,PSG_10007669,,Why is my teammate earning more than me?!,PSG_10007695,,Permanent,,,,Employed = True,,,,214,,,,,,,,,,,,,,TeammateEarningMoreThanDriver,Only applies when this driver's teammate has a higher cost per race than them.,PSG_10009845,,-60,,,,,,,,,,
215,Losing Trust,PSG_10007670,,Why would you give us risky parts?!,PSG_10007696,,Temp,,13-26,PostRace,Busted = True,10,,,215,,,PlayerDriverOnly,,,,,,,,,,,,,,,-80,,,,,,,,,,
216,Signed New Contract,PSG_10007671,,Im super excited about this new deal!,PSG_10007697,,Temp,Yes,13-26,,SignedNewContract,,,,216,,,PlayerDriverOnly,,,,,,,,,,,,,,,10,,,,,,,,,,
217,Promise Fulfilled,PSG_10007672,,"Thanks for doing that for me, boss!",PSG_10007698,,Temp,Yes,52,,PromiseFulfilled,,,,217,Source = PromiseFulfilled,,PlayerDriverOnly,,,,,,,,,,,,,,,30,,,,,,,,,,
218,Promise Broken,PSG_10007673,,Why would you promise something you couldnt deliver?,PSG_10007699,,Temp,Yes,52,,PromiseFailed,,,,218,Source = PromiseBroken,,PlayerDriverOnly,,,,,,,,,,,,,,,-100,,,,,,,,,,
219,Promise Made: New Part,PSG_10007674,,I cant wait for that new part you promised me...,PSG_10007700,,Temp,Yes,6,,CarPartPromise,,,,219,,,PlayerDriverOnly,,,,,,,,,,,CarPartPromise,,,,5,,,,,,,,,,
220,Promise Made: Wage Increase,PSG_10007675,,Im finally going to be able to buy that Rossini hypercar!,PSG_10007701,,Temp,Yes,4,,IncomePromise,,,,220,,,PlayerDriverOnly,,,,,,,,,,,IncomePromise,,,,5,,,,,,,,,,
221,Promise Made: Championship Position,PSG_10007676,,"Come on boss, this is the final push!",PSG_10007702,,Temp,Yes,26,,ChampionshipPromise,,,,221,,,PlayerDriverOnly,,,,,,,,,,,ChampionshipPromise,,,,5,,,,,,,,,,
222,Promise Made: HQ Upgrade,PSG_10007677,,"This new building is going to do wonders for us, trust me.",PSG_10007703,,Temp,Yes,26-52,,HQPromise,,,,222,,,PlayerDriverOnly,,,,,,,,,,,HQPromise,,,,5,,,,,,,,,,
223,Promise Made: Fire Mechanic,PSG_10007678,,"I deserve better than that grease-monkey, dont I?!",PSG_10007704,,Temp,Yes,8,,MechanicPromise,,,,223,,,PlayerDriverOnly,,,,,,,,,,,MechanicPromise,,,,5,,,,,,,,,,
224,Promise Made: Fire Designer,PSG_10007679,,We need someone better to improve the car.,PSG_10007705,,Temp,Yes,8,,EngineerPromise,,,,224,,,PlayerDriverOnly,,,,,,,,,,,EngineerPromise,,,,5,,,,,,,,,,
225,Promise Made: Fire Reserve Driver,PSG_10007680,,Im not comfortable working with him... either he goes or I do.,PSG_10007706,,Temp,Yes,8,,ReservePromise,,,,225,,,PlayerDriverOnly,,,,,,,,,,,ReservePromise,,,,5,,,,,,,,,,
227,Drift Racer,PSG_10009023,,This should make my parade laps more exciting...,PSG_10009057,,Temp,Yes,4-14,,,5,228,229; 231; 233,227,Source = DriftRacer,,PlayerDriverOnly,,,,2,,,2,,,,,,,10,,,,,,,,,,,
228,Drift Champion,PSG_10009024,,It turns out that driving sideways is way more fun!,PSG_10009058,,Permanent,,,,Trait = 227,25,,,228,Source = DriftChampion,,PlayerDriverOnly,,,,4,,,3,,,,,,,10,,,,,,,,,,,
229,Racing Stock Cars,PSG_10009025,,Driving in circles? How hard can it be?,PSG_10009059,,Temp,,6-16,,,5,230,227; 231; 233,229,Source = RacingStockCars,,PlayerDriverOnly,,,,,2,3,,,,,,,,10,,,,,,,,,,,
230,Stock Car Champion,PSG_10009026,,"Okay, that was much harder than I expected.",PSG_10009060,,Permanent,,,,Trait = 229,25,,,230,Source = StockCarChampion,,PlayerDriverOnly,,6,,,4,3,,,,3,,,,10,,,,,,,,,,,
231,Racing Trucks,PSG_10009027,,"Yee-haw! Out of my way, suckers!",PSG_10009061,,Temp,,6-16,,,5,232,227; 229; 233,231,Source = RacingTrucks,,PlayerDriverOnly,,,,,4,,,,,,,,,10,,,,,,,,,,,
232,Truck Racing Champion,PSG_10009028,,"Whoa, these things are beasts!",PSG_10009062,,Permanent,,,,Trait = 231,25,,,232,Source = TruckRacingChampion,,PlayerDriverOnly,,,,,6,,,,,,,,,10,,,,,,,,,,,
233,Paranoid,PSG_10001349,,"Hey. Over here. Keep your voice down... theyve bugged this room, I know it...",PSG_10002619,,Permanent,,,,,,,,233,,,,,,,,,,,,,,,,,,,-30,-20,,,,,,,,
234,Panic Prone,PSG_10001385,,Dont tell me to calm down!,PSG_10003748,,Permanent,,,,,,,,234,,,,,,,,,,,,,-6,,,,,,,,,,,,,,,
235,Training for Pilot's License,PSG_10009031,,Ahh... so thats why its called aerodynamics!,PSG_10009065,,Temp,,16-32,,,5,236,,235,Source = TrainingForPilotsLicense,,PlayerDriverOnly,,,,2,,,,,,,,,,10,,,,,,,,,,,
236,Trained Pilot,PSG_10009032,,Everybody looks like ants from up here!,PSG_10009066,,Permanent,,,,Trait = 236,25,,,236,Source = TrainedPilot,,PlayerDriverOnly,,,,5,,,,,,,,,,10,,,,,,,,,,,
237,Claims Abducted by Aliens,PSG_10009033,,"ZODIANS REAL, GUYS!",PSG_10009067,,Temp,,16-32,,,1,,,237,Source = AbductedByAliens,,PlayerDriverOnly,,,,,,,,,,-10,,,,,-30,,,,,,,,,,
238,Addicted to Videogames,PSG_10009034,,Just.. one... more... go...,PSG_10009068,,Temp,,16-32,,,5,,,238,Source = AddictedToVideogames,,PlayerDriverOnly,,,,,,,,-5,,-5,,,,,,,,,,,,,,,
239,Sprained Wrist,PSG_10009017,,"I know its a wrist injury, but its not what it looks like!",PSG_10009051,,Temp,Yes,4-10,PostRace,CarStatus = Crashed,2,,178; 240; 241; 242; 243,239,Source = SprainedWrist,Source = Healed,PlayerDriverOnly,,,-3,-3,-3,-3,,-4,-4,-4,,,,,-5,,,,-10,,,,,,
240,Eye Problems,PSG_10009018,,Everything is blurry...,PSG_10009052,,Temp,Yes,4-12,,,2,,239; 178; 241; 242; 243,240,Source = EyeProblems,Source = Healed,PlayerDriverOnly,,,-15,-15,-15,-15,,,,-20,,,,,-10,,,,-20,,,,,,
241,Broken Metatarsal,PSG_10009019,,My foot!,PSG_10009053,,Temp,Yes,8-24,PostRace,CarStatus = Crashed,2,,239; 240; 178; 242; 243,241,Source = BrokenMetatarsal,Source = Healed,PlayerDriverOnly,,-15,,-15,,-15,,-15,-15,-20,,,,,-15,,,,-40,,,,,,
242,Dislocated Shoulder,PSG_10009020,,"Eeh, my shoulder!",PSG_10009054,,Temp,Yes,8-24,PostRace,CarStatus = Crashed,2,,239; 240; 241; 178; 243,242,Source = DislocatedShoulder,Source = Healed,PlayerDriverOnly,,,-15,-15,,-15,-15,-15,-15,-18,,,,,-15,,,,-30,,,,,,
243,Whiplash,PSG_10009021,,I *have* been injured in an accident at work!,PSG_10009055,,Temp,Yes,1-3,PostRace,CarStatus = Crashed,2,,239; 240; 241; 242; 178; ,243,Source = Whiplash,Source = Healed,PlayerDriverOnly,,,-2,-2,,,,-2,,-2,,,,,,,,,-10,,,,,,
259,Guildford Expert,PSG_10009035,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,259,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Guildford,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
260,Ardennes Expert,PSG_10009036,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,260,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Ardennes,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
261,Phoenix Expert,PSG_10009037,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,261,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Phoenix,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
262,Yokohama Expert,PSG_10009038,,I know it like the back of my hand.,PSG_10002682,,Permanent,,,,,,,,262,Source = RaceExpert,,PlayerDriverOnly,7,,,,,,,,,,Yokohama,Bonus only applies in a specific location.,PSG_10009846,,,,,,,,,,,,
